Time (s)	Load (gf)	Displacement (mm)
19,554	2	1,944
19,566	2	1,945
19,578	2	1,947
19,594	2	1,948
19,606	2	1,949
19,618	2	1,95
19,63	2	1,952
19,648	2	1,954
19,667	2	1,955
19,679	2	1,958
19,702	2	1,96
19,725	2	1,962
19,747	2	1,964
19,771	2	1,966
19,787	2	1,967
19,799	2	1,968
19,811	2	1,97
19,823	2	1,971
19,835	2	1,972
19,847	2	1,973
19,858	2	1,974
19,87	2	1,976
19,894	2	1,979
19,914	2	1,98
19,926	2	1,983
19,956	4	1,985
19,981	2	1,988
20,002	2	1,989
20,014	2	1,99
20,026	2	1,991
20,044	4	1,993
20,058	4	1,994
20,071	4	1,996
20,092	4	1,998
20,11	2	2
20,13	2	2,001
20,143	2	2,003
20,165	2	2,006
20,189	2	2,007
20,201	2	2,01
20,227	4	2,012
20,252	4	2,014
20,267	4	2,016
20,286	4	2,017
20,3	2	2,018
20,318	2	2,021
20,339	2	2,023
20,363	2	2,026
20,384	2	2,027
20,396	2	2,03
20,434	4	2,032
20,449	2	2,033
20,461	2	2,034
20,479	2	2,036
20,491	4	2,038
20,504	4	2,039
20,521	4	2,041
20,543	4	2,045
20,573	2	2,046
20,588	2	2,047
20,6	2	2,048
20,612	4	2,05
20,636	4	2,052
20,65	2	2,053
20,662	2	2,055
20,68	4	2,057
20,698	4	2,06
20,736	4	2,062
20,752	4	2,065
20,775	4	2,066
20,788	4	2,067
20,8	4	2,068
20,813	4	2,071
20,837	4	2,074
20,865	4	2,076
20,886	4	2,078
20,91	4	2,079
20,922	4	2,081
20,941	4	2,084
20,97	4	2,086
21,002	4	2,089
21,024	2	2,091
21,038	2	2,092
21,051	4	2,093
21,063	4	2,094
21,075	4	2,096
21,089	4	2,097
21,101	4	2,098
21,113	4	2,1
21,125	4	2,102
21,148	4	2,104
21,177	4	2,106
21,19	4	2,107
21,202	2	2,109
21,219	2	2,11
21,246	4	2,113
21,258	4	2,115
21,282	4	2,116
21,294	4	2,118
21,306	4	2,119
21,328	4	2,121
21,341	4	2,123
21,359	4	2,124
21,372	4	2,126
21,385	4	2,127
21,399	4	2,13
21,428	4	2,131
21,441	4	2,132
21,454	4	2,134
21,466	4	2,135
21,478	4	2,136
21,49	4	2,138
21,511	4	2,139
21,523	4	2,14
21,535	4	2,142
21,548	4	2,143
21,56	4	2,146
21,586	4	2,147
21,599	4	2,149
21,617	4	2,152
21,647	4	2,154
21,67	4	2,156
21,69	4	2,157
21,704	4	2,161
21,738	4	2,162
21,751	4	2,163
21,763	4	2,165
21,787	2	2,167
21,801	2	2,168
21,814	2	2,17
21,826	2	2,171
21,838	2	2,172
21,85	4	2,173
21,862	4	2,174
21,874	4	2,176
21,886	4	2,177
21,898	4	2,178
21,91	4	2,18
21,934	4	2,182
21,953	4	2,184
21,972	4	2,186
21,985	4	2,187
21,998	4	2,188
22,01	4	2,189
22,022	4	2,19
22,034	2	2,192
22,046	2	2,193
22,058	4	2,194
22,07	4	2,197
22,099	4	2,199
22,127	4	2,201
22,139	4	2,203
22,164	4	2,205
22,177	4	2,207
22,207	4	2,21
22,224	4	2,211
22,241	4	2,214
22,276	2	2,216
22,292	2	2,218
22,31	4	2,22
22,329	4	2,221
22,341	4	2,222
22,354	4	2,225
22,381	4	2,226
22,394	4	2,228
22,407	4	2,23
22,43	4	2,232
22,45	4	2,233
22,463	4	2,235
