gelC_I_3mm11	gelC_I_3mm11	gelC_I_3mm11	
Force	Distance	Time	
g	mm	sec	

0.176713	0.039	4	
0.0568005	0.04	4.005	
-0.0946675	0.04	4.01	
0.0189335	0.04	4.015	
0.130431	0.04	4.02	
-0.037867	0.04	4.025	
-0.18092	0.04	4.03	
-0.0336596	0.04	4.035	
0.145157	0.04	4.04	
0.0462819	0.04	4.045	
-0.0883563	0.04	4.05	
0.0147261	0.04	4.055	
0.143053	0.04	4.06	
-0.00210372	0.04	4.065	
-0.140949	0.04	4.07	
-0.0441782	0.04	4.075	
0.0988749	0.04	4.08	
0.0168298	0.04	4.085	
-0.0946675	0.04	4.09	
0.0273484	0.04	4.095	
0.151468	0.04	4.1	
0	0.041	4.105	
-0.12412	0.041	4.11	
0.0147261	0.041	4.115	
0.149364	0.041	4.12	
-0.0147261	0.041	4.125	
-0.174609	0.041	4.13	
-0.0231409	0.041	4.135	
0.126223	0.041	4.14	
-0.00210372	0.041	4.145	
-0.155675	0.041	4.15	
-0.0315558	0.041	4.155	
0.134638	0.041	4.16	
0.0105186	0.041	4.165	
-0.153572	0.041	4.17	
-0.0231409	0.041	4.175	
0.128327	0.041	4.18	
0.0357633	0.041	4.185	
-0.0799414	0.041	4.19	
0.0147261	0.041	4.195	
0.130431	0.041	4.2	
-0.0147261	0.042	4.205	
-0.161987	0.042	4.21	
0	0.042	4.215	
0.134638	0.042	4.22	
-0.00210372	0.042	4.225	
-0.0967712	0.042	4.23	
0.0841489	0.042	4.235	
0.210372	0.042	4.24	
-0.0168298	0.042	4.245	
-0.210372	0.042	4.25	
-0.0673191	0.042	4.255	
0.0631117	0.042	4.26	
-0.037867	0.042	4.265	
-0.128327	0.042	4.27	
0.0610079	0.042	4.275	
0.218787	0.042	4.28	
0.0715266	0.042	4.285	
-0.143053	0.042	4.29	
-0.0631117	0.042	4.295	
0.0631117	0.042	4.3	
-0.0715266	0.043	4.305	
-0.193542	0.043	4.31	
0.0294521	0.043	4.315	
0.216683	0.043	4.32	
0.0525931	0.043	4.325	
-0.111497	0.043	4.33	
0.037867	0.043	4.335	
0.159883	0.043	4.34	
-0.037867	0.043	4.345	
-0.204061	0.043	4.35	
-0.0336596	0.043	4.355	
0.157779	0.043	4.36	
0.0357633	0.043	4.365	
-0.10729	0.043	4.37	
0.0441782	0.043	4.375	
0.18092	0.043	4.38	
0.0168298	0.043	4.385	
-0.178816	0.043	4.39	
-0.0483856	0.043	4.395	
0.115705	0.043	4.4	
-0.0105186	0.044	4.405	
-0.149364	0.044	4.41	
0.0210372	0.044	4.415	
0.199854	0.044	4.42	
0.0357633	0.044	4.425	
-0.155675	0.044	4.43	
0	0.044	4.435	
0.147261	0.044	4.44	
-0.00631117	0.044	4.445	
-0.183024	0.044	4.45	
-0.0336596	0.044	4.455	
0.155675	0.044	4.46	
0.0357633	0.044	4.465	
-0.122016	0.044	4.47	
0.00210372	0.044	4.475	
0.16409	0.044	4.48	
0.0126223	0.044	4.485	
-0.172505	0.044	4.49	
-0.0483856	0.044	4.495	
0.0820452	0.044	4.5	
-0.0420744	0.045	4.505	
-0.149364	0.045	4.51	
0.037867	0.045	4.515	
0.206165	0.045	4.52	
0.0504893	0.045	4.525	
-0.136742	0.045	4.53	
-0.00841489	0.045	4.535	
0.143053	0.045	4.54	
0.0105186	0.045	4.545	
-0.166194	0.045	4.55	
-0.0315558	0.045	4.555	
0.128327	0.045	4.56	
0.0126223	0.045	4.565	
-0.151468	0.045	4.57	
